"X1","店名","地址","店名是否包含搜索关键词","区县镇"
"惠州市美团买菜","美团专送","惠州市惠城区三环南路与南岸路交叉路口西北侧(苏屋墩)",1,"惠州惠城区"
"惠州市美团买菜","美团专送","广东省惠州市惠城区斑樟湖一横街二巷22号附近",1,"惠州惠城区"
"惠州市美团买菜","美团专送","广东省惠州市惠城区银岭路76号附近",1,"惠州惠城区"
"惠州市美团买菜","美团外卖","三新工业区A7栋06",1,NA
"惠州市美团买菜","美团外卖(新村西街店)","广东省惠州市惠东县新村西路41号",1,"惠州惠东县"
"惠州市美团买菜","美团专送","惠州市惠城区下寮新中路与惠民大道交叉路口往东南约100米",1,"惠州惠城区"
"惠州市美团买菜","美团专送","惠州市惠城区苏屋墩路与南岸路交叉路口北侧(惠州汽车大市场东侧约100米)",1,"惠州惠城区"
"惠州市美团买菜","美团外卖(惠园路店)","惠州市惠东县后园路与惠园路交叉路口东北侧(建设幼儿园西北侧)",1,"惠州惠东县"
"惠州市美团买菜","美团外卖(新兴五路八巷店)","广东省惠州市惠东县新兴五路八巷",1,"惠州惠东县"
"惠州市美团买菜","美团外卖(新村路店)","惠州市惠东县平梁路与新村路交叉路口往西南约150米(新村小学西侧)",1,"惠州惠东县"
"惠州市美团买菜","美团配送","惠州市惠阳区大窝二路(怡家园东北侧)",1,"惠州惠阳区"
"惠州市美团买菜","美团外卖(惠东站)","广东省惠州市惠东县新埔东路33号",1,"惠州惠东县"
"惠州市美团买菜","美团专送","广东省惠州市惠阳区开城大道中119-25号附近",1,"惠州惠阳区"
"惠州市美团买菜","美团专送","惠州市惠城区下角东路(惠州青少年宫北侧约50米)",1,"惠州惠城区"
"惠州市美团买菜","美团配送站","惠州市惠城区麦岸路与花边南路交叉路口往东南约200米(金耀园西南侧)",1,"惠州惠城区"
"惠州市美团买菜","美团外卖(上杨二路店)",NA,1,NA
"惠州市美团买菜","美团专送(大亚湾站)","惠州市惠阳区兴盛二路与怡园路交叉路口往东南约50米(盛湾名居西侧约100米)",1,"惠州惠阳区"
"惠州市美团买菜","美团优选生活超市","惠州市惠阳区龙海二路(珠江四季悦城)",1,"惠州惠阳区"
"惠州市美团买菜","恒裕3路美团","广东省惠州市惠城区三栋",1,"惠州惠城区"
"惠州市美团买菜","美团专送","广东省惠州市惠阳区长安南路162号",1,"惠州惠阳区"
"惠州市美团买菜","美团专送","惠州市惠阳区石湖路(丽豪华府西南侧)",1,"惠州惠阳区"
"惠州市美团买菜","美团专送","广东省惠州市惠阳区人民三路37号附近",1,"惠州惠阳区"
"惠州市美团买菜","美团专送","广东省惠州市惠城区和畅五路西65附近",1,"惠州惠城区"
"惠州市美团买菜","美团专送(站点ID：2019082)","广东省惠州市惠城区湖溪大道九街19号附近",1,"惠州惠城区"
"惠州市美团买菜","美团专送","广东省惠州市惠阳区兴和二路十巷",1,"惠州惠阳区"
"惠州市美团买菜","美团专送","惠州市惠阳区白云二路(公安邨西侧)",1,"惠州惠阳区"
"惠州市美团买菜","美团专送","广东省惠州市惠阳区木棉街与铁湖东路交叉口南100米",1,"惠州惠阳区"
"惠州市美团买菜","美团专送","惠州市博罗县罗阳二路(富华新城南侧约50米)",1,"惠州博罗县"
"惠州市美团买菜","美团外卖(罗浮路店)","惠州市博罗县罗浮路与共建路交叉路口往西约200米(现代中心城)",1,"惠州博罗县"
"惠州市美团买菜","美团专送","惠州市惠阳区西南大道(潮惠装饰城南侧约50米)",1,"惠州惠阳区"
"惠州市美团买菜","美团外卖(博罗县)","广东省惠州市博罗县X195(福园路)",1,"惠州博罗县"
"惠州市美团买菜","美团专送","惠州市惠阳区中兴北路(澳子村)",1,"惠州惠阳区"
"惠州市美团买菜","美团专送","惠州市惠城区古湖路与华盛东街交叉路口往南约50米",1,"惠州惠城区"
"惠州市美团买菜","美团外卖(环城北路店)",NA,1,NA
"惠州市美团买菜","美团专送","广东省惠州市惠城区花园水中路11-4号附近",1,"惠州惠城区"
"惠州市美团买菜","美团专送(乌石站)","广东省惠州市惠城区乌石一路",1,"惠州惠城区"
"惠州市美团买菜","美团专送","广东省惠州市惠城区古湖路",1,"惠州惠城区"
"惠州市美团买菜","美团服务点","惠州市惠城区湖东路与湖溪大道九街交叉路口往东南约50米(大湖溪商住综合市场东南侧)",1,"惠州惠城区"
"惠州市美团买菜","美团专送","惠州市惠城区新岗北一路与新寮横路交叉路口东侧(三新工厂区)",1,"惠州惠城区"
"惠州市美团买菜","美团专送","惠州市惠阳区长安北路与古井五路交叉路口北侧(惠阳体育中心东北侧约50米)",1,"惠州惠阳区"
"惠州市美团买菜","美团专送","广东省东莞市裕民街4号-后门附近",1,NA
"惠州市美团买菜","美团外卖(新埔东街店)",NA,1,NA
"惠州市美团买菜","美团总部-1栋","广东省惠州市其它区惠州市博罗县园洲镇城市星座一幢",1,"惠州博罗县"
"惠州市美团买菜","美团外卖(白花站)",NA,1,NA
"惠州市美团买菜","美团外卖(营盘路店)",NA,1,NA
"惠州市美团买菜","美团专送(小口站)","惠州市惠城区湖溪大道四街与湖溪大道交叉路口往东约50米(水口大湖溪综合办公楼东侧)",1,"惠州惠城区"
"惠州市美团买菜","美团外卖(飞龙大道店)","惠州市博罗县飞龙大道与龙珠路交叉路口南侧(金域华府)",1,"惠州博罗县"
"惠州市美团买菜","美团外卖(和平路店)","惠州市博罗县桥东五路与和平路交叉路口往东约50米(矮岭小区西南侧约50米)",1,"惠州博罗县"
"惠州市美团买菜","美团外卖(南湖路店)",NA,1,NA
"惠州市叮咚买菜","叮咚买菜(惠平站)","惠州市惠城区东平二街与东平南路交叉路口往南约150米(海燕绿岛商城)",1,"惠州惠城区"
"惠州市叮咚买菜","叮咚买菜","广东省惠州市惠城区麦兴路29-1",1,"惠州惠城区"
"惠州市叮咚买菜","叮咚买菜","惠州市惠城区新沥路与三环北路交叉路口西南侧(东南首府北侧约50米)",1,"惠州惠城区"
"惠州市叮咚买菜","叮咚买菜站","广东省深圳市坪山区宝梓北路53号西80米",1,"深圳坪山区"
"惠州市叮咚买菜","叮咚买菜","惠州市惠阳区星河东六路(生态森林河畔家园东北侧约150米)",1,"惠州惠阳区"
"惠州市叮咚买菜","叮咚生活","广东省东莞市绿化西路38号附近",1,NA
"惠州市叮咚买菜","叮咚博士","黄埠镇海滨三路二街一巷1号",1,NA
"汕尾市美团买菜","美团外卖(汕尾总部)","广东省汕尾市城区",1,NA
"汕尾市美团买菜","美团外卖(陆丰总部)","广东省汕尾市陆丰市",1,"汕尾陆丰市"
"汕尾市美团买菜","美团外卖(吉祥路店)","汕尾市城区吉祥路(祯祥大厦东侧约50米)",1,NA
"汕尾市美团买菜","美团优选","汕尾市陆河县圩新街",1,"汕尾陆河县"
"汕尾市美团买菜","美团外卖(陆河总指挥部)","广东省汕尾市陆河县对面埔二街",1,"汕尾陆河县"
"汕尾市美团买菜","美团外卖(人民西路店)","广东省汕尾市陆丰市人民西路",1,"汕尾陆丰市"
"汕尾市美团买菜","美团点评","汕尾市陆丰市海关路与华桂路交叉路口往西南约150米(金华花园)",1,"汕尾陆丰市"
"汕尾市美团买菜","美团外卖(碣石站)","广东省汕尾市陆丰市",1,"汕尾陆丰市"
"汕尾市美团买菜","美团外卖(人民二路店)","汕尾市海丰县人民二路(小太阳幼儿园东侧约50米)",1,"汕尾海丰县"
"汕尾市美团买菜","美团外卖(河图岭路店)","汕尾市陆丰市河图岭路与广汕公路交叉路口往北约200米(陆丰汽车总站东北侧约50米)",1,"汕尾陆丰市"
"汕尾市美团买菜","美团外卖(西河路店)","汕尾市城区汕尾大道与西河路交叉路口往西北约50米(埔边市场北侧)",1,NA
"东莞市盒马鲜生","盒马生鲜","广东东莞市凤岗镇京州酒店",1,"东莞凤岗镇"
"东莞市美团买菜","美团外卖(农二南一巷)","广东省东莞市新兴路42号",1,"云浮新兴县"
"东莞市美团买菜","美团外卖(石兴路店)","广东省东莞市",1,NA
"东莞市美团买菜","美团专送","石碣镇碧桃街88号(名典酒店后面)",1,"东莞石碣镇"
"东莞市美团买菜","美团外卖美团专送","东莞市莞樟路与东升路交叉路口往东北约150米(下三杞村)",1,"中山东升镇"
"东莞市美团买菜","美团站点","广东省东莞市南城区袁屋边宝园路9号美团站点",1,"东莞南城街道"
"东莞市叮咚买菜","叮咚买菜","广东省东莞市黄江镇清龙路17号",1,"东莞黄江镇"
"东莞市叮咚买菜","叮咚买菜门店","广东省东莞市厚街镇金丰昌路6号叮咚买菜门店",1,"东莞厚街镇"
"东莞市叮咚买菜","叮咚买菜","东莞市罗沙路与和阳路交叉路口往东南约100米(青云大厦东侧)",1,NA
"东莞市叮咚买菜","叮咚买菜","东莞市利成路与德政西路交叉路口西侧(世邦商住大厦西北侧)",1,NA
"东莞市叮咚买菜","叮咚买菜","东莞市东城西路与美峰路交叉路口西南侧(城市花园)",1,"东莞东城街道"
"东莞市叮咚买菜","叮咚买菜(华生站)","广东省东莞市商业街137号",1,NA
"东莞市叮咚买菜","叮咚买菜(鸿福站)","东莞市泰和商业街与金锡路交叉路口往东南约50米(梧桐里东北侧约50米)",1,NA
"东莞市叮咚买菜","叮咚买菜(金升店)","广东省东莞市胜和管理区蚝一村一巷1号",1,NA
"东莞市叮咚买菜","叮咚买菜(春风站)","广东省东莞市东城街道大井头平岗街1号",1,"东莞东城街道"
"中山市美团买菜","美团外卖(中山市小市店)","广东省中山市青云路51号",1,NA
"中山市美团买菜","美团优选","广东省中山市创业路",1,NA
"中山市美团买菜","美团专送","广东省中山市同顺路",1,NA
"中山市美团买菜","美团配送","广东省中山市金港路19",1,NA
"中山市美团买菜","美团专送","广东省中山市贴边西路54之1西北80米",1,NA
"中山市美团买菜","美团专送","广东省中山市拱桥路41号",1,NA
"中山市美团买菜","美团专送","广东省中山市隆都南路35",1,NA
"中山市美团买菜","美团配送","广东省中山市中山二路32附近",1,NA
"中山市美团买菜","美团专送","中山市同茂街与沿河西路交叉路口北侧(名都华庭)",1,NA
"中山市美团买菜","美团站点","火炬开发区东镇大街一巷8号",1,NA
"中山市美团买菜","美团专送","广东省中山市广兴北路7号附近",1,NA
"中山市美团买菜","美团专送","中山市如意二路与如意路交叉路口西北侧(迎月居东北侧约50米)",1,NA
"中山市美团买菜","美团专送","三乡镇加益居B111号",1,"中山三乡镇"
"中山市美团买菜","美团站点","中山市兴港南路(星港湾城市绿洲)",1,NA
"中山市美团买菜","美团专送","广东省中山市永兴路1号",1,NA
"中山市美团买菜","美团专送","广东省中山市南头大道东69附近",1,"中山南头镇"
"中山市美团买菜","美团专送","广东省中山市青云路51号",1,NA
"中山市美团买菜","美团专送","广东省中山市恒业街104号北100米",1,NA
"中山市美团买菜","美团专送","广东省中山市顷六路二街",1,NA
"中山市美团买菜","美团专送","广东省中山市荔景路10西南90米",1,NA
"中山市美团买菜","美团专送","中山市恒海路与白石南路交叉路口往东南约100米(碧堤湾畔)",1,NA
"中山市美团买菜","美团专送","广东省中山市兴业街53号",1,NA
"中山市美团买菜","美团专送","中山市珠三角环线高速(远洋启宸南侧约50米)",1,"中山三角镇"
"中山市美团买菜","美团专送","广东省中山市紫荆中路12号附近",1,NA
"中山市美团买菜","美团专送","中山市中山二路与方基涌大街交叉路口往西约100米(志荣大厦西南侧)",1,NA
"中山市美团买菜","美团专送","广东省中山市南坦路220号附近",1,NA
"中山市美团买菜","美团专送","广东省中山市金三大道中206南50米",1,NA
"中山市美团买菜","美团专送","广东省中山市金龙横街77号附近",1,NA
"中山市美团买菜","美团专送","广东省中山市龙凤街9号附近",1,NA
"中山市美团买菜","美团专送","中山市尚安街与永兴南路交叉路口往西北约150米(英博幼儿园西北侧)",1,NA
"中山市美团买菜","美团专送","广东省中山市兴中道31号东南80米",1,NA
"中山市美团买菜","美团专送","广东省中山市岐涌路161西北80米",1,NA
"中山市美团买菜","美团专送","中山市小榄镇富盛街三巷2号",1,"中山小榄镇"
"中山市美团买菜","美团专送","广东省中山市",1,NA
"中山市美团买菜","美团专送","中山市兴宏路与意发路交叉路口北侧(阜沙中心市场北侧)",1,"中山阜沙镇"
"中山市美团买菜","美团专送","广东省中山市西冲中路92号西北70米",1,NA
"中山市美团买菜","美团外卖(兴宏路店)","广东省中山市兴宏路23号附近",1,NA
"中山市美团买菜","美团专送","广东省中山市嘉惠路三巷21号",1,NA
"中山市美团买菜","美团专送","广东省中山市新明南路133东70米",1,NA
"中山市美团买菜","美团外卖(迎宾大道店)","广东省中山市",1,NA
"中山市美团买菜","美团专送","广东省中山市市边村大道43号附近",1,NA
"中山市美团买菜","美团外卖(康乐街店)",NA,1,NA
"中山市美团买菜","美团专送","中山市振业路与康宁街交叉路口西侧(公安小区东南侧约100米)",1,NA
"中山市美团买菜","美团专送","中山市成业三街与瑞泰大街交叉路口往西约50米(神湾中心市场西北侧约150米)",1,"中山神湾镇"
"中山市美团买菜","美团专送","中山市神利路与界狮北路交叉路口往东约50米(源兴雅居南侧约50米)",1,NA
"中山市美团买菜","美团专送","广东省中山市神利路48西北60米",1,NA
"中山市叮咚买菜","叮咚家选","广东省中山市古镇镇新兴中路179号巨星灯饰广场五楼",1,"云浮新兴县"
"中山市叮咚买菜","叮咚美业","广东省中山市",1,NA
"江门市美团买菜","美团","广东省江门市蓬江区环市街道聚德街9号",1,"江门蓬江区"
"江门市美团买菜","美团公司","江门市恩平市桥峰路与新塔路交叉路口往东北约50米(恩荣楼)",1,"江门恩平市"
"江门市美团买菜","美团外卖(双亭街店)","广东省江门市台山市双亭街2号",1,"江门台山市"
"江门市美团买菜","美团配送","江门市蓬江区农林东路与胜利路交叉路口往东北约100米(胜利市场)",1,"江门蓬江区"
"江门市美团买菜","美团专送","广东省江门市开平市虹桥路47号附近",1,"江门开平市"
"江门市美团买菜","美团优选","广东省江门市新会区诗书街22号102铺附近",1,"江门新会区"
"江门市美团买菜","美团外卖(金碧豪庭店)","广东省江门市开平市金都东路",1,"江门开平市"
"江门市美团买菜","美团专送","广东省江门市开平市人民西路10号东南90米",1,"江门开平市"
"江门市美团买菜","美团外卖(白石路店)","广东省江门市台山市白石路89号南60米",1,"江门台山市"
"江门市美团买菜","美团专送","广东省江门市江海区麻园路151-110号附近",1,"江门江海区"
"江门市美团买菜","美团专送","江门市蓬江区丰裕路3号",1,"江门蓬江区"
"江门市美团买菜","美团配送","江门市新会区新会大道中与帝临南路交叉路口往东南约150米(新会雅景花园)",1,"江门新会区"
"江门市美团买菜","美团专送","江门市江海区阳山大路与清兰大路交叉路口往西北约100米(世纪新象商住城)",1,"江门江海区"
"江门市美团买菜","美团外卖美团专送","江门市蓬江区文华苑7栋107",1,"江门蓬江区"
"江门市美团买菜","美团外卖(乐祥东路店)",NA,1,NA
"江门市美团买菜","美团专送","广东省江门市江海区麻二路4号115、117室",1,"江门江海区"
"江门市美团买菜","美团专送","广东省江门市蓬江区S270(江杜中路)",1,"江门蓬江区"
"江门市美团买菜","美团外卖(人民西路店)",NA,1,NA
"江门市美团买菜","美团专送","江门市新会区冈州大道中与募兴路交叉路口往东北约200米(恒业大厦东南侧)",1,"江门新会区"
"江门市美团买菜","美团专送","广东省江门市新会区振兴三路12号-2座",1,"江门新会区"
"江门市美团买菜","美团专送","江门市蓬江区港口一路与东港街交叉路口西南侧(美景小学东南侧)",1,"江门蓬江区"
"江门市美团买菜","美团专送","江门市开平市新兴路与新华路交叉路口西侧(新濠华庭西南侧约50米)",1,"江门开平市"
"江门市美团买菜","美团点评","广东省江门市台山市双亭街2号北60米",1,"江门台山市"
"江门市美团买菜","美团专送","广东省江门市蓬江区上巷六巷",1,"江门蓬江区"
"江门市美团买菜","美团专送","广东省江门市蓬江区农林东路37号附近",1,"江门蓬江区"
"江门市美团买菜","美团优选(蓬江配送中心)","广东省江门市蓬江区建达南路6~7号",1,"江门蓬江区"
"江门市美团买菜","美团专送","广东省江门市蓬江区江会路37号附近",1,"江门蓬江区"
"江门市美团买菜","美团专送","江门市新会区南园路与南园新村路交叉路口往东北约50米(嘉怡苑东侧)",1,"江门新会区"
"江门市美团买菜","美团专送","江门市蓬江区东胜里三巷与民兴四街交叉路口往南约150米(禾冈小学南侧约50米)",1,"江门蓬江区"
"江门市美团买菜","美团专送","江门市新会区同德三路与帝临南路交叉路口往东约50米(同德园)",1,"江门新会区"
"江门市美团买菜","美团专送","江门市蓬江区天福路与发展大道交叉路口往东南约200米(骏景湾豪庭)",1,"江门蓬江区"
"江门市美团买菜","美团专送","蓬江区祈东街6号附近",1,"江门蓬江区"
"江门市美团买菜","美团外卖部","江门市鹤山市平和路(共和综合市场西侧约200米)",1,"江门鹤山市"
"江门市美团买菜","美团专送","江门市蓬江区白石大道与丰乐路交叉路口西南侧(骏景花园)",1,"江门蓬江区"
"江门市美团买菜","美团外卖(址山站)","广东省江门市鹤山市人民南路40号",1,"江门鹤山市"
"江门市美团买菜","美团外卖(中心路店)","广东省江门市新会区中心路",1,"江门新会区"
"江门市美团买菜","美团外卖(新河东路店)","江门市新会区新河东路(司前仁爱医院南侧约100米)",1,"江门新会区"
"江门市叮咚买菜","叮咚一夏(桃源总店)","广东省江门市鹤山市桃源大道南12号",1,"江门鹤山市"
"阳江市美团买菜","美团外卖(潮排山路店)","广东省阳江市江城区潮排路18号",1,"阳江江城区"
"阳江市美团买菜","美团优选","广东省阳江市阳春市春城街道阳春产业转移工业园C9-1地块",1,"阳江阳春市"
"阳江市美团买菜","美团外卖(工业大道店)","广东省阳江市阳西县",1,"阳江阳西县"
"阳江市美团买菜","美团优选","阳江市阳西县桥南街与人民中路交叉路口往东南约50米(名生幼儿园西侧约200米)",1,"阳江阳西县"
"阳江市美团买菜","美团外卖(兴顺路店)",NA,1,NA
"阳江市美团买菜","美团外卖(阳春站)","广东省阳江市阳春市松竹路122号",1,"阳江阳春市"
"阳江市美团买菜","美团外卖(滘桥新路店)","广东省阳江市江城区滘桥新路18-1号附近",1,"阳江江城区"
"阳江市美团买菜","美团优选提货点","广东省阳江市江城区北环路白水塘二巷8号",1,"阳江江城区"
"湛江市美团买菜","长布村多多买菜美团优选自提点","广东省湛江市麻章区长布村金德路272号",1,"湛江市区"
"湛江市美团买菜","美团买菜自提点","广东省湛江市吴川市X613",1,"湛江吴川市"
"湛江市美团买菜","美团配送","湛江市霞山区上坡路(智星幼儿园西北侧)",1,"湛江市区"
"湛江市美团买菜","美团","广东省湛江市霞山区上坡塘村87号",1,"湛江市区"
"湛江市美团买菜","美团专送","广东省湛江市赤坎区益民路38号附近",1,"湛江市区"
"湛江市美团买菜","美团专送","湛江市霞山区华荣路与社坛路交叉路口往东南约200米(东新花园)",1,"湛江市区"
"湛江市美团买菜","美团专送","湛江市霞山区绿民路与绿华路交叉路口往西南约200米(录塘文化公园西北侧)",1,"湛江市区"
"湛江市美团买菜","美团专送","湛江市霞山区广州湾大道(中澳友谊花园北侧约50米)",1,"湛江市区"
"湛江市美团买菜","美团专送","广东省湛江市赤坎区拥军路52号附近",1,"湛江市区"
"湛江市美团买菜","美团外卖(廉江站)","广东省湛江市廉江市九洲江大道北",1,"湛江廉江市"
"湛江市美团买菜","美团专送","广东省湛江市坡头区合作路1号北80米",1,"湛江市区"
"湛江市美团买菜","美团优选麻坡网格站配送中心","广东省湛江市坡头区S373(麻坡路)",1,"湛江市区"
"湛江市美团买菜","美团外卖(石城路店)",NA,1,NA
"湛江市美团买菜","淘宝美团产品摄影","广东省湛江市赤坎区",1,"湛江市区"
"湛江市美团买菜","美团外卖(廉江市城南站)","广东省湛江市廉江市美景北路西八街11号",1,"湛江廉江市"
"湛江市美团买菜","美团外卖(廉江站)",NA,1,NA
"湛江市美团买菜","美团外卖(创业南路店)","湛江市廉江市创业南路与石城大道中交叉路口往南约200米(美景幼儿园南侧约50米)",1,"湛江廉江市"
"湛江市美团买菜","美团外卖(南街店)","湛江市廉江市南街与东街交叉路口南侧(金叶大厦西北侧)",1,"湛江廉江市"
"湛江市叮咚买菜","叮咚超市","广东省湛江市赤坎区南桥街道西粤京基城三期8栋叮咚超市",1,"湛江市区"
"湛江市叮咚买菜","叮咚夜宵店",NA,1,NA
