搜索关键词,店名,地址,X4,地址配经纬度再查地址,名称配经纬度查地址2,地址连接,区县镇
珠海市 超市,百和超市(夏湾路店),夏湾路178号附近,0,广东省珠海市香洲区夏湾路170号,,夏湾路178号附近广东省珠海市香洲区夏湾路170号,珠海香洲区
珠海市 超市,沃尔玛购物广场(前山店),珠海市香洲区翠微西路188号,0,广东省珠海市香洲区翠微西路176号,,珠海市香洲区翠微西路188号广东省珠海市香洲区翠微西路176号,珠海香洲区
珠海市 超市,华润万家(明珠南路店),珠海市香洲区明珠南路1389号,0,广东省珠海市香洲区明珠南路3064号,,珠海市香洲区明珠南路1389号广东省珠海市香洲区明珠南路3064号,珠海香洲区
珠海市 超市,华润万家(夏湾店),昌平路193-195号首层,0,广东省珠海市香洲区昌平路276号,,昌平路193-195号首层广东省珠海市香洲区昌平路276号,珠海香洲区
珠海市 超市,百和超市(九洲店),吉大石花东路8号九洲花园9-12号商铺,0,广东省珠海市香洲区石花东路8号,,吉大石花东路8号九洲花园9-12号商铺广东省珠海市香洲区石花东路8号,珠海香洲区
珠海市 超市,鹏泰购物广场(南屏店),南屏商业街2栋9号A附近,0,广东省珠海市香洲区环屏路一街84号,,南屏商业街2栋9号A附近广东省珠海市香洲区环屏路一街84号,珠海香洲区
珠海市 超市,华润万家(丽雅苑店),红旗镇广安路387-390号,0,,,红旗镇广安路387-390号,
珠海市 超市,山姆会员商店(香洲店),珠海市香洲区明珠北路338号印象城B2,0,,,珠海市香洲区明珠北路338号印象城B2,珠海香洲区
珠海市 超市,荣一超市(北师大店),唐家湾镇金凤路8号京师家园综合楼一层,0,广东省珠海市香洲区励耘北路,,唐家湾镇金凤路8号京师家园综合楼一层广东省珠海市香洲区励耘北路,珠海香洲区
珠海市 超市,朝阳市场,广东省珠海市香洲区朝阳路西3号,0,广东省珠海市香洲区朝阳路42号,,广东省珠海市香洲区朝阳路西3号广东省珠海市香洲区朝阳路42号,珠海香洲区
珠海市 超市,华润万家便利超市(前湾店),唐家湾镇前湾一路高新新天地三栋一层,0,广东省珠海市香洲区前湾一路,,唐家湾镇前湾一路高新新天地三栋一层广东省珠海市香洲区前湾一路,珠海香洲区
珠海市 超市,珠海奥园广场,珠海市香洲区梅界路237号(梅溪牌坊对面),0,广东省珠海市香洲区,,珠海市香洲区梅界路237号(梅溪牌坊对面)广东省珠海市香洲区,珠海香洲区
珠海市 超市,得一超市(柠溪店),广东省珠海市香洲区香溪路128号,0,广东省珠海市香洲区香溪路128号,,广东省珠海市香洲区香溪路128号广东省珠海市香洲区香溪路128号,珠海香洲区
珠海市 超市,百和超市(柠溪路店),柠溪路378号,0,广东省珠海市香洲区柠溪路374,,柠溪路378号广东省珠海市香洲区柠溪路374,珠海香洲区
珠海市 超市,口岸购物广场,广东省珠海市香洲区拱北迎宾南路1003号,0,广东省珠海市香洲区侨光路3号,,广东省珠海市香洲区拱北迎宾南路1003号广东省珠海市香洲区侨光路3号,珠海香洲区
珠海市 超市,得一超级商场(前山店),广东省珠海市香洲区前山路74号,0,广东省珠海市香洲区前山路72号,,广东省珠海市香洲区前山路74号广东省珠海市香洲区前山路72号,珠海香洲区
珠海市 超市,万佳超市,广东省珠海市香洲区拱北粤华路225花苑新村15栋,0,广东省珠海市香洲区粤海路225号,,广东省珠海市香洲区拱北粤华路225花苑新村15栋广东省珠海市香洲区粤海路225号,珠海香洲区
珠海市 超市,华润万家(梅华东路店),广东省珠海市香洲区梅华东路188号,0,广东省珠海市香洲区梅华东路174,,广东省珠海市香洲区梅华东路188号广东省珠海市香洲区梅华东路174,珠海香洲区
珠海市 超市,华润万家(屏东店),广东省珠海市香洲区南屏科技园屏东6号之二首层,0,广东省珠海市香洲区泰南街17号,,广东省珠海市香洲区南屏科技园屏东6号之二首层广东省珠海市香洲区泰南街17号,珠海香洲区
珠海市 超市,百佳永辉(珠海免税商场店),珠海市香洲区景山路220号珠海免税商场F2,0,,,珠海市香洲区景山路220号珠海免税商场F2,珠海香洲区
珠海市 超市,得一超市(珠百店),广东省珠海市香洲区吉大景山路222号珠海百货广场1层,0,广东省珠海市香洲区景山路228号,,广东省珠海市香洲区吉大景山路222号珠海百货广场1层广东省珠海市香洲区景山路228号,珠海香洲区
珠海市 超市,鹏泰超市,广东省珠海市香洲区环村大道56号附近,1,广东省珠海市香洲区环村大道56号,,广东省珠海市香洲区环村大道56号附近广东省珠海市香洲区环村大道56号,珠海香洲区
珠海市 超市,华润万家便利超市(仁恒星园店),珠海市人民西路仁恒星园商业街A区1层,0,广东省珠海市香洲区仁恒星园商业街483-121号,,珠海市人民西路仁恒星园商业街A区1层广东省珠海市香洲区仁恒星园商业街483-121号,珠海香洲区
珠海市 超市,茂毅超市,广东省珠海市香洲区梅溪村119号首层,0,,,广东省珠海市香洲区梅溪村119号首层,珠海香洲区
珠海市 超市,优特广场,珠海市香洲区银桦路与兴业路交叉路口往东北约100米(富和新城东北侧约100米),0,广东省珠海市香洲区银桦路285号,,珠海市香洲区银桦路与兴业路交叉路口往东北约100米(富和新城东北侧约100米)广东省珠海市香洲区银桦路285号,珠海香洲区
珠海市 超市,华润万家(联安路店),广东省珠海市香洲区联安路106号附近,0,广东省珠海市香洲区联安路106号,,广东省珠海市香洲区联安路106号附近广东省珠海市香洲区联安路106号,珠海香洲区
珠海市 超市,百利超市,广东省珠海市香洲区屏东四路11附近,0,广东省珠海市香洲区屏东四路11,,广东省珠海市香洲区屏东四路11附近广东省珠海市香洲区屏东四路11,珠海香洲区
珠海市 超市,得一超市(翠怡店),珠海市香洲区翠前北路138号107-112号商铺,0,广东省珠海市香洲区翠前北路118号,,珠海市香洲区翠前北路138号107-112号商铺广东省珠海市香洲区翠前北路118号,珠海香洲区
珠海市 超市,芙蓉超市,广东省珠海市香洲区南湾北路45号附近,0,广东省珠海市香洲区环屏路20,,广东省珠海市香洲区南湾北路45号附近广东省珠海市香洲区环屏路20,珠海香洲区
珠海市 超市,便利超市,广东省珠海市香洲区海洲路6西北80米,0,,,广东省珠海市香洲区海洲路6西北80米,珠海香洲区
珠海市 超市,和大福拱北购物广场(珠海拱北店),广东省珠海市香洲区水湾路银海新村34座首层,0,广东省珠海市香洲区水湾路198号,,广东省珠海市香洲区水湾路银海新村34座首层广东省珠海市香洲区水湾路198号,珠海香洲区
珠海市 超市,围基市场,广东省珠海市香洲区围基路28号,0,广东省珠海市香洲区昌盛路66号-1楼,,广东省珠海市香洲区围基路28号广东省珠海市香洲区昌盛路66号-1楼,珠海香洲区
珠海市 超市,华润万家(富华里分店),珠海市香洲区九州大道西2055号富华里F1,0,广东省珠海市香洲区白合街4号,,珠海市香洲区九州大道西2055号富华里F1广东省珠海市香洲区白合街4号,珠海香洲区
珠海市 超市,昕宇超市,广东省珠海市香洲区围基路32号附近,0,,,广东省珠海市香洲区围基路32号附近,珠海香洲区
珠海市 超市,百分百购物中心(凤凰南路店),珠海市香洲区凤凰南路1134号,0,广东省珠海市香洲区凤凰南路1134号,,珠海市香洲区凤凰南路1134号广东省珠海市香洲区凤凰南路1134号,珠海香洲区
珠海市 超市,光裕超市,珠海市香洲区北山路与北山正街南交叉路口往西约200米(南安亭西北侧),0,,,珠海市香洲区北山路与北山正街南交叉路口往西约200米(南安亭西北侧),珠海香洲区
珠海市 超市,十字门华发商都,珠海市湾仔银湾路1663号,0,广东省珠海市香洲区,,珠海市湾仔银湾路1663号广东省珠海市香洲区,珠海香洲区
珠海市 超市,女若超市,珠海市香洲区警安街与旅游路交叉路口往东南约200米(恒雅名园),0,,,珠海市香洲区警安街与旅游路交叉路口往东南约200米(恒雅名园),珠海香洲区
珠海市 超市,华润万家便利超市(里维埃拉分店),珠海市斗门区里珠峰大道维埃拉一期商业街内,0,广东省珠海市斗门区,,珠海市斗门区里珠峰大道维埃拉一期商业街内广东省珠海市斗门区,珠海斗门区
珠海市 超市,便利超市,珠海市香洲区契爷岭二街与港湾大道交叉路口往西约100米(每一间),0,,,珠海市香洲区契爷岭二街与港湾大道交叉路口往西约100米(每一间),珠海香洲区
珠海市 超市,早8点生鲜超市(银桦店),人民东路银桦新村33栋1单元,0,广东省珠海市香洲区沿河西路338号,,人民东路银桦新村33栋1单元广东省珠海市香洲区沿河西路338号,珠海香洲区
珠海市 超市,便利超市,广东省珠海市香洲区梅华西路1846号附近,0,,,广东省珠海市香洲区梅华西路1846号附近,珠海香洲区
珠海市 超市,心怡超市,珠海市香洲区北山正街27号,0,广东省珠海市香洲区北山正街29号,,珠海市香洲区北山正街27号广东省珠海市香洲区北山正街29号,珠海香洲区
珠海市 超市,河畔超市,广东省珠海市香洲区港二路278号附近,0,广东省珠海市香洲区港二路278号,,广东省珠海市香洲区港二路278号附近广东省珠海市香洲区港二路278号,珠海香洲区
珠海市 超市,惠民超市,珠海市香洲区景山路与景莲街交叉路口往东北约50米(吉大新村),0,广东省珠海市香洲区景山路98号,,珠海市香洲区景山路与景莲街交叉路口往东北约50米(吉大新村)广东省珠海市香洲区景山路98号,珠海香洲区
珠海市 超市,允杰超市,珠海市香洲区人民东路47号,0,广东省珠海市香洲区人民东路49号,,珠海市香洲区人民东路47号广东省珠海市香洲区人民东路49号,珠海香洲区
珠海市 超市,通大百货,珠海市香洲区紫荆路134号,0,广东省珠海市香洲区银香路18号,,珠海市香洲区紫荆路134号广东省珠海市香洲区银香路18号,珠海香洲区
珠海市 超市,超胜超市,珠海市香洲区,0,广东省珠海市香洲区,,珠海市香洲区广东省珠海市香洲区,珠海香洲区
珠海市 超市,生活超市,珠海市香洲区永安街与中心街交叉路口东北侧(珠海泰坦新动力电子有限公司西北侧),0,,,珠海市香洲区永安街与中心街交叉路口东北侧(珠海泰坦新动力电子有限公司西北侧),珠海香洲区
珠海市 超市,生鲜超市,广东省珠海市唐家湾镇东岸村,0,,,广东省珠海市唐家湾镇东岸村,
珠海市 超市,京东超市,广东省珠海市香洲区前山路191号、b13号附近,0,,,广东省珠海市香洲区前山路191号、b13号附近,珠海香洲区
珠海市 超市,恒福超市,广东省珠海市香洲区柠溪路145附近,0,,,广东省珠海市香洲区柠溪路145附近,珠海香洲区
珠海市 超市,百姓超市,珠海市香洲区兰埔路与白石路交叉路口往东北约100米(圆明新园),0,广东省珠海市香洲区,,珠海市香洲区兰埔路与白石路交叉路口往东北约100米(圆明新园)广东省珠海市香洲区,珠海香洲区
珠海市 超市,新兴超市,广东省珠海市香洲区长巷街126号北100米,0,广东省珠海市香洲区长巷街126号,,广东省珠海市香洲区长巷街126号北100米广东省珠海市香洲区长巷街126号,珠海香洲区
珠海市 超市,华润万家(夏湾店),广东省珠海市香洲区拱北昌平路193号,0,,广东省珠海市香洲区昌平路276号,广东省珠海市香洲区拱北昌平路193号广东省珠海市香洲区昌平路276号,珠海香洲区
珠海市 超市,联益超市,珠海市香洲区明珠南路与翠珠二街交叉路口往东约200米(翠微幼儿园东南侧约50米),0,广东省珠海市香洲区大坊街,,珠海市香洲区明珠南路与翠珠二街交叉路口往东约200米(翠微幼儿园东南侧约50米)广东省珠海市香洲区大坊街,珠海香洲区
珠海市 超市,龙泉超市,广东省珠海市香洲区华平路16-4,0,广东省珠海市香洲区华平路16-4,,广东省珠海市香洲区华平路16-4广东省珠海市香洲区华平路16-4,珠海香洲区
珠海市 超市,高铁进口商品专门店(珠海站),广东省珠海市香洲区昌盛路72附近珠海站F1层,0,广东省珠海市香洲区G228(昌盛路),,广东省珠海市香洲区昌盛路72附近珠海站F1层广东省珠海市香洲区G228(昌盛路),珠海香洲区
珠海市 超市,得利市精品超市,珠海市香洲区创业路(御景国际南侧),0,,,珠海市香洲区创业路(御景国际南侧),珠海香洲区
珠海市 超市,韵达快递超市(珠海市吉大白莲新村店),广东省珠海市香洲区白莲路176号36栋,0,,,广东省珠海市香洲区白莲路176号36栋,珠海香洲区
珠海市 超市,快递超市,广东省珠海市香洲区石花西路177号附近,0,,,广东省珠海市香洲区石花西路177号附近,珠海香洲区
珠海市 超市,985超市,广东省珠海市香洲区梅华西路2142号2楼附近,0,,,广东省珠海市香洲区梅华西路2142号2楼附近,珠海香洲区
珠海市 超市,宝平超市,广东省珠海市香洲区联安路166号附近,0,,,广东省珠海市香洲区联安路166号附近,珠海香洲区
珠海市 超市,肥家超市,珠海市香洲区港乐路与港湾大道交叉路口往西南约150米(海怡湾畔),0,广东省珠海市香洲区港乐路,,珠海市香洲区港乐路与港湾大道交叉路口往西南约150米(海怡湾畔)广东省珠海市香洲区港乐路,珠海香洲区
珠海市 超市,团购超市,广东省珠海市香洲区翠华路22号附近,0,,,广东省珠海市香洲区翠华路22号附近,珠海香洲区
珠海市 超市,联科焊机五金超市(总店),广东省珠海市香洲区金山二巷5号,0,,,广东省珠海市香洲区金山二巷5号,珠海香洲区
珠海市 超市,快递超市,珠海市香洲区Ｙ１０２(古元文化广场东侧约50米),0,,,珠海市香洲区Ｙ１０２(古元文化广场东侧约50米),珠海香洲区
珠海市 超市,珠海利明湾超市,珠海市香洲区环村大道与工业大道交叉路口往东约100米(珠海市上涌村东侧约50米),0,广东省珠海市香洲区西和二街2号,,珠海市香洲区环村大道与工业大道交叉路口往东约100米(珠海市上涌村东侧约50米)广东省珠海市香洲区西和二街2号,珠海香洲区
珠海市 超市,珠海贷欧超市,珠海市香洲区翠微西路与翠珠路交叉路口东侧(幸福里),0,,,珠海市香洲区翠微西路与翠珠路交叉路口东侧(幸福里),珠海香洲区
珠海市 超市,管件超市,广东省珠海市香洲区金鸡路48,0,广东省珠海市香洲区金鸡路46,,广东省珠海市香洲区金鸡路48广东省珠海市香洲区金鸡路46,珠海香洲区
珠海市 超市,屈臣氏(珠海市华发商都店),珠海市香洲区珠海大道8号华发商都F1,0,广东省珠海市香洲区南湾北路30号,,珠海市香洲区珠海大道8号华发商都F1广东省珠海市香洲区南湾北路30号,珠海香洲区
珠海市 超市,荣一连锁,珠海市香洲区上华路(中珠·上城-二期),0,广东省珠海市香洲区三台石路299号,,珠海市香洲区上华路(中珠·上城-二期)广东省珠海市香洲区三台石路299号,珠海香洲区
珠海市 超市,鲜一街生鲜超市,广东省珠海市香洲区文贤路2号西南50米,0,广东省珠海市香洲区香悦路13号,,广东省珠海市香洲区文贤路2号西南50米广东省珠海市香洲区香悦路13号,珠海香洲区
珠海市 超市,芙蓉兴盛,珠海市香洲区沙边路与西大街交叉路口东北侧(南屏幼儿园西侧约50米),0,,,珠海市香洲区沙边路与西大街交叉路口东北侧(南屏幼儿园西侧约50米),珠海香洲区
珠海市 超市,屈臣氏(富华里店),珠海市香洲区九州大道西富华里5栋106-108号,0,,,珠海市香洲区九州大道西富华里5栋106-108号,珠海香洲区
珠海市 超市,珠海连科批发,广东省珠海市香洲区东风路瀚高电脑城1楼26号,0,,,广东省珠海市香洲区东风路瀚高电脑城1楼26号,珠海香洲区
珠海市 超市,义发超市,广东省珠海市香洲区逸仙路338号附近,0,广东省珠海市香洲区逸仙路338号,,广东省珠海市香洲区逸仙路338号附近广东省珠海市香洲区逸仙路338号,珠海香洲区
珠海市 超市,华润万家便利超市(嘉怡店),广东省珠海市香洲怡华街133号之1号、3号铺,0,,,广东省珠海市香洲怡华街133号之1号、3号铺,珠海香洲区
珠海市 超市,小超市,广东省珠海市香洲区粤海西路92号附近,0,,,广东省珠海市香洲区粤海西路92号附近,珠海香洲区
珠海市 超市,宝康超市,珠海市香洲区夏湾路317号,0,广东省珠海市香洲区夏湾路323号,,珠海市香洲区夏湾路317号广东省珠海市香洲区夏湾路323号,珠海香洲区
珠海市 超市,超市,广东省珠海市香洲区人民西路610附近,0,,,广东省珠海市香洲区人民西路610附近,珠海香洲区
珠海市 超市,欣月超市,广东省珠海市斗门区龙山三路小濠冲新村场13巷2号,0,广东省珠海市斗门区,,广东省珠海市斗门区龙山三路小濠冲新村场13巷2号广东省珠海市斗门区,珠海斗门区
珠海市 超市,IP超市,珠海市香洲区南安街与南溪大街交叉路口往西北约150米(亿泽大厦东侧约50米),0,,,珠海市香洲区南安街与南溪大街交叉路口往西北约150米(亿泽大厦东侧约50米),珠海香洲区
珠海市 超市,贝佳超市,广东省珠海市金湾区红旗镇小林金银商都16号,0,,,广东省珠海市金湾区红旗镇小林金银商都16号,珠海金湾区
珠海市 超市,珠海贷款超市,广东省珠海市香洲区桂花北路233号附近,0,广东省珠海市香洲区桂花北路219号,,广东省珠海市香洲区桂花北路233号附近广东省珠海市香洲区桂花北路219号,珠海香洲区
珠海市 超市,南屏华翔百货商场,广东省珠海市香洲区东大街33,0,广东省珠海市香洲区东大街32号,,广东省珠海市香洲区东大街33广东省珠海市香洲区东大街32号,珠海香洲区
珠海市 超市,珠海市斗门区白蕉镇宽信百货超市,珠海市斗门区歧江路(康乐幼儿园西北侧),0,,,珠海市斗门区歧江路(康乐幼儿园西北侧),珠海斗门区
珠海市 超市,松惠超市,广东省珠海市金湾区S366(珠海大道),0,,,广东省珠海市金湾区S366(珠海大道),珠海金湾区
珠海市 超市,兴华超市,广东省珠海市香洲区天羽道隧道,0,广东省珠海市香洲区,,广东省珠海市香洲区天羽道隧道广东省珠海市香洲区,珠海香洲区
珠海市 超市,便利超市,广东省珠海市金湾区南翔路东附近,0,,,广东省珠海市金湾区南翔路东附近,珠海金湾区
珠海市 超市,亿隆超市,珠海市斗门区珠峰大道(海鄂苑西南侧),0,,,珠海市斗门区珠峰大道(海鄂苑西南侧),珠海斗门区
珠海市 超市,信合超市,珠海市斗门区红光路与坭湾路交叉路口往西约100米(斗门区第四中学南侧约150米),0,广东省珠海市斗门区红光路,,珠海市斗门区红光路与坭湾路交叉路口往西约100米(斗门区第四中学南侧约150米)广东省珠海市斗门区红光路,珠海斗门区
珠海市 超市,钰杰超市,珠海市金湾区珠海大道与创业西路交叉路口往南约100米(德尔玛西北侧约100米),0,,广东省珠海市斗门区马山北路,珠海市金湾区珠海大道与创业西路交叉路口往南约100米(德尔玛西北侧约100米)广东省珠海市斗门区马山北路,珠海金湾区
珠海市 超市,金昌超市,珠海市斗门区新堂路(山水豪苑西南侧),0,,,珠海市斗门区新堂路(山水豪苑西南侧),珠海斗门区
珠海市 超市,免税超市,广东省珠海市香洲区宝兴路43附近,0,,,广东省珠海市香洲区宝兴路43附近,珠海香洲区
珠海市 超市,老乡超市,珠海市金湾区双林大道与丽珠南路交叉路口往东北约50米(丽珠医药集团股份有限公司东侧约150米),0,,,珠海市金湾区双林大道与丽珠南路交叉路口往东北约50米(丽珠医药集团股份有限公司东侧约150米),珠海金湾区
珠海市 超市,佳品超市,广东省珠海市金湾区三灶镇金海岸大道佳兴大厦,0,,,广东省珠海市金湾区三灶镇金海岸大道佳兴大厦,珠海金湾区
珠海市 超市,便利超市,广东省珠海市斗门区连兴一路西段西100米,0,,,广东省珠海市斗门区连兴一路西段西100米,珠海斗门区
珠海市 超市,德信超市,珠海市斗门区金坑东路与永福一路交叉路口东侧(锦绣城),0,,,珠海市斗门区金坑东路与永福一路交叉路口东侧(锦绣城),珠海斗门区
珠海市 超市,便利超市,珠海市斗门区桥湖南路(招商·依云水岸),0,,,珠海市斗门区桥湖南路(招商·依云水岸),珠海斗门区
珠海市 超市,珠海领鲜之路贸易有限公司,广东省珠海市香洲区九洲大道西2152,0,,,广东省珠海市香洲区九洲大道西2152,珠海香洲区
珠海市 超市,文雅超市,广东省珠海市斗门区斗门大道北222附近,0,广东省珠海市斗门区斗门大道北222,,广东省珠海市斗门区斗门大道北222附近广东省珠海市斗门区斗门大道北222,珠海斗门区
珠海市 超市,宏升超市,珠海市金湾区鱼林路(卫国村东北侧约50米),0,,,珠海市金湾区鱼林路(卫国村东北侧约50米),珠海金湾区
珠海市 超市,便利超市,珠海市斗门区虹桥三路(时代倾城2期),0,,,珠海市斗门区虹桥三路(时代倾城2期),珠海斗门区
珠海市 超市,南嚎超市,广东省珠海市金湾区南水镇南港路114号,0,,,广东省珠海市金湾区南水镇南港路114号,珠海金湾区
珠海市 超市,佳益超市,珠海市香洲区屏北三路(南屏科技园东北侧约150米),0,广东省珠海市香洲区,,珠海市香洲区屏北三路(南屏科技园东北侧约150米)广东省珠海市香洲区,珠海香洲区
珠海市 超市,便利超市,广东省珠海市斗门区白藤二路9号西南80米,0,,,广东省珠海市斗门区白藤二路9号西南80米,珠海斗门区
珠海市 超市,珠海市泰昌隆商行,人民西路宝地康泰460号,0,广东省珠海市香洲区人民西路438号,,人民西路宝地康泰460号广东省珠海市香洲区人民西路438号,珠海香洲区
珠海市 超市,便利超市,广东省珠海市斗门区美湾街37号附近,0,,,广东省珠海市斗门区美湾街37号附近,珠海斗门区
珠海市 超市,珠海市横琴(新区波仔士多店),横琴镇下村27号,0,广东省珠海市香洲区,,横琴镇下村27号广东省珠海市香洲区,珠海香洲区
珠海市 超市,芙蓉兴盛,广东省珠海市斗门区X981(新堂路),0,,,广东省珠海市斗门区X981(新堂路),珠海斗门区
珠海市 超市,果蔬鲜生,珠海市金湾区金铭东路与金渠路交叉路口往西约100米(山湖海雅苑),0,,,珠海市金湾区金铭东路与金渠路交叉路口往西约100米(山湖海雅苑),珠海金湾区
珠海市 超市,芙蓉兴盛,广东省珠海市香洲区环屏路11号附近,0,,,广东省珠海市香洲区环屏路11号附近,珠海香洲区
珠海市 超市,珠海市白蕉镇恩林小卖店,广东省珠海市斗门区同心东路16号附近,0,,,广东省珠海市斗门区同心东路16号附近,珠海斗门区
珠海市 超市,汇合轩,珠海市香洲区翠平街与明珠南路交叉路口东北侧(中经花园),0,,,珠海市香洲区翠平街与明珠南路交叉路口东北侧(中经花园),珠海香洲区
珠海市 超市,珠海市湾仔明诚源商行,下沙街四巷与中盛路交叉口东北50米,0,广东省珠海市香洲区中盛路20号,,下沙街四巷与中盛路交叉口东北50米广东省珠海市香洲区中盛路20号,珠海香洲区
珠海市 超市,珠海市吉莲海之川商行,广东省珠海市香洲区九洲大道西1045,0,广东省珠海市香洲区九洲大道西1045,,广东省珠海市香洲区九洲大道西1045广东省珠海市香洲区九洲大道西1045,珠海香洲区
珠海市 超市,芙蓉兴盛,广东省珠海市香洲区丰盛园西街,0,,,广东省珠海市香洲区丰盛园西街,珠海香洲区
珠海市 超市,优客龙,广东省珠海市金湾区伟民路172号,0,广东省珠海市金湾区伟民路172号,,广东省珠海市金湾区伟民路172号广东省珠海市金湾区伟民路172号,珠海金湾区
珠海市 超市,珠海格丽,广东省珠海市香洲区晨晖路103-1号东北60米,0,广东省珠海市香洲区梅华西路2210号,,广东省珠海市香洲区晨晖路103-1号东北60米广东省珠海市香洲区梅华西路2210号,珠海香洲区
珠海市 超市,易得福,珠海市金湾区安基中路,0,广东省珠海市金湾区安基中路,,珠海市金湾区安基中路广东省珠海市金湾区安基中路,珠海金湾区
珠海市 超市,绿叶惠购,广东省珠海市香洲区桃园路38号10附近,0,,,广东省珠海市香洲区桃园路38号10附近,珠海香洲区
珠海市 超市,鲜为客,珠海市香洲区警安街与旅游路交叉路口往东南约200米(恒雅名园),0,,,珠海市香洲区警安街与旅游路交叉路口往东南约200米(恒雅名园),珠海香洲区
珠海市 农贸市场,广富市场,广东省珠海市香洲区心华路147号,0,广东省珠海市香洲区心华路143号,,广东省珠海市香洲区心华路147号广东省珠海市香洲区心华路143号,珠海香洲区
珠海市 农贸市场,湾仔农贸市场,湾仔街道江海路66号,0,,,湾仔街道江海路66号,江门江海区
珠海市 农贸市场,连屏农贸市场,广东省珠海市香洲区保北路,0,广东省珠海市香洲区保北路,,广东省珠海市香洲区保北路广东省珠海市香洲区保北路,珠海香洲区
珠海市 农贸市场,唐人街市场,珠海市金湾区伟民路50号,0,广东省珠海市金湾区北河一路,,珠海市金湾区伟民路50号广东省珠海市金湾区北河一路,珠海金湾区
珠海市 农贸市场,吉大吉莲市场,广东省珠海市香洲区莲兴路153号,0,广东省珠海市香洲区吉莲路11号,,广东省珠海市香洲区莲兴路153号广东省珠海市香洲区吉莲路11号,珠海香洲区
珠海市 农贸市场,龙山农贸市场,斗门大道南6号,0,广东省珠海市斗门区X582(斗门大道),,斗门大道南6号广东省珠海市斗门区X582(斗门大道),珠海斗门区
珠海市 农贸市场,南屏市场(环屏路),广东省珠海市南屏镇环屏路3号,0,广东省珠海市香洲区环屏路2号,,广东省珠海市南屏镇环屏路3号广东省珠海市香洲区环屏路2号,珠海香洲区
珠海市 农贸市场,上冲农贸市场,人民西路1008号,0,广东省珠海市香洲区人民西路1号,,人民西路1008号广东省珠海市香洲区人民西路1号,珠海香洲区
珠海市 农贸市场,北澳市场,工业大道123号,0,广东省珠海市斗门区北澳西路8,,工业大道123号广东省珠海市斗门区北澳西路8,珠海斗门区
珠海市 农贸市场,横山市场,珠海市斗门区泰来路563号,0,广东省珠海市斗门区谦益路,,珠海市斗门区泰来路563号广东省珠海市斗门区谦益路,珠海斗门区
珠海市 农贸市场,农贸市场,广东省珠海市香洲区莲花路273号附近,0,广东省珠海市香洲区莲花路273号,,广东省珠海市香洲区莲花路273号附近广东省珠海市香洲区莲花路273号,珠海香洲区
